"SIG_CD","region_name","solar_altitude_meridian_deg","solar_altitude_09_deg","solar_altitude_12_deg","solar_altitude_15_deg","observations"
"43113","청주시 흥덕구","72.682464","40.10192","70.709384","53.507464","460"
"43114","청주시 청원구","72.637355","40.102246","70.696594","53.500942","460"
"43130","충주시","72.473116","40.164674","70.676196","53.419601","460"
"43150","제천시","72.387935","40.203623","70.667246","53.370688","460"
"43720","보은군","72.773587","40.14279","70.75337","53.480109","460"
"43730","옥천군","72.883768","40.120797","70.77529","53.515326","460"
"43740","영동군","72.962572","40.157029","70.813587","53.490543","460"
"43745","증평군","72.446667","40.032536","70.545471","53.372283","460"
"43750","진천군","72.55413","40.089493","70.667246","53.502246","460"
"43760","괴산군","72.578225","40.146268","70.698623","53.451377","460"
"43770","음성군","72.503297","40.128297","70.669674","53.458478","460"
"43800","단양군","72.667971","40.637355","71.043696","53.038659","460"
"44131","천안시동남구","72.577536","40.038659","70.651232","53.55337","460"
"44133","천안시서북구","72.542391","40.035688","70.62","53.542101","460"
"44150","공주시","72.799348","40.045906","70.717536","53.575688","460"
"44180","보령시","72.86721","39.967029","70.698913","53.659746","460"
"44200","아산시","72.105942","39.849565","70.156087","53.535833","460"
"44210","서산시","72.596775","39.933804","70.607681","53.655471","460"
"44230","논산시","72.954457","40.04692","70.76163","53.594928","460"
"44250","계룡시","72.902645","40.06971","70.757464","53.566341","460"
"44270","당진시","72.046087","39.791449","70.112174","53.582971","460"
"44710","금산군","73.002138","40.110797","70.80442","53.539819","460"
"44760","부여군","72.901884","40.015362","70.731957","53.618043","460"
"44770","서천군","73.018986","39.983188","70.749384","53.663514","460"
"44790","청양군","72.792319","39.995399","70.691703","53.622826","460"
"44800","홍성군","72.706051","39.970725","70.655797","53.635362","460"
"44810","예산군","72.658406","39.998841","70.655688","53.602029","460"
"44825","태안군","72.132174","39.738406","70.110761","53.644674","460"
"45111","전주시완산구","73.173007","40.060725","70.829384","53.608986","460"
"45113","전주시덕진구","73.123804","40.061341","70.816014","53.602029","460"
"45130","군산시","73.561775","39.85221","71.105797","53.971123","460"
"45140","익산시","73.098406","40.027971","70.793007","53.630725","460"
"45180","정읍시","73.800688","39.876993","71.184457","53.976558","460"
"45190","남원시","73.892717","39.965435","71.252826","53.902826","460"
"45210","김제시","73.659964","39.877899","71.145616","53.958804","460"
"45710","완주군","73.123804","40.061341","70.816014","53.602029","460"
"45720","진안군","73.192717","40.105543","70.855978","53.56837","460"
"45730","무주군","73.063297","40.140072","70.834964","53.519167","460"
"45740","장수군","73.278877","40.12337","70.888587","53.56163","460"
"45750","임실군","73.77221","39.946051","71.209928","53.906812","460"
"45770","순창군","73.917899","39.925145","71.240652","53.944275","460"
"45790","고창군","73.88087","39.853949","71.195109","54.00837","460"
"45800","부안군","73.703297","39.854964","71.146377","53.985797","460"
