SIG_CD,Sido,SIG_KOR_NM,한국이름,center_lon,center_lat,solar_09_kst,solar_12_kst,solar_15_kst,solar_day_mean_09_12_15,n_cells,radius_m,method,status,nearest_row,nearest_col,nearest_dist_m,window_cells
41171,경기도,경기도 안양시 만안구,안양시 만안구,126.911382955,37.404116263,240.8760528564453,585.954345703125,519.9834594726562,448.9379526774089,317,1000.0,centroid_radius_mean,ok,5309,2333,49.25103565009277,120
41173,경기도,경기도 안양시 동안구,안양시 동안구,126.955502633,37.40039006,246.83892822265625,584.8707275390625,513.723876953125,448.47784423828125,316,1000.0,centroid_radius_mean,ok,5304,2372,48.85950156979351,120
41190,경기도,경기도 부천시,부천시,126.784283558667,37.502172906333,237.40960693359375,586.5294799804688,523.47705078125,449.1387125651042,316,1000.0,centroid_radius_mean,ok,5418,2221,43.719987471189015,120
41192,경기도,경기도 부천시 원미구,부천시 원미구,126.778950218,37.499799092,237.5521240234375,586.7605590820312,524.03955078125,449.45074462890625,313,1000.0,centroid_radius_mean,ok,5415,2217,40.46305990496113,120
41194,경기도,경기도 부천시 소사구,부천시 소사구,126.796803896,37.474937497,237.90724182128906,586.4680786132812,522.739013671875,449.0381113688151,315,1000.0,centroid_radius_mean,ok,5387,2232,50.63225245574039,120
41196,경기도,경기도 부천시 오정구,부천시 오정구,126.777096562,37.53178213,238.31643676757812,588.2271728515625,525.8466186523438,450.79674275716144,313,1000.0,centroid_radius_mean,ok,5451,2215,39.91041900534258,120
41210,경기도,경기도 광명시,광명시,126.864694047,37.44516912,230.74639892578125,582.8192138671875,517.0117797851562,443.5257975260417,313,1000.0,centroid_radius_mean,ok,5354,2292,26.96219043337307,120
41220,경기도,경기도 평택시,평택시,126.987663606,37.011824784,240.00035095214844,589.5068359375,517.9907836914062,449.1659901936849,316,1000.0,centroid_radius_mean,ok,4873,2401,42.41281213405187,120
41250,경기도,경기도 동두천시,동두천시,127.077912454,37.916537607,236.12611389160156,574.1260986328125,491.5794372558594,433.9438832600911,310,1000.0,centroid_radius_mean,ok,5878,2480,38.7463916238148,120
41270,경기도,경기도 안산시,안산시,126.8271649245,37.316871025,239.09686279296875,591.3243408203125,526.190673828125,452.20395914713544,316,1000.0,centroid_radius_mean,ok,5212,2259,34.340175928913474,120
