station_id,network,longitude,latitude,elevation_m,year,valid_tmax_days,valid_tmin_days,h02_mean_daily_max_c,h03_mean_daily_min_c,h04_heatwave_days,h05_tropical_nights,h06_wsdi_days,h07_annual_max_daily_max_c,h08_tx90p_days,h09_maximum_warm_spell_days,percentile_baseline_status,quality_status
101,ASOS,127.7357,37.90262,75.82,2025,355,355,18.073802816901402,7.367887323943665,25,5,,36.9,,,1991-2020_BASELINE_PENDING,PASS
102,ASOS,124.71237,37.97396,36,2021,358,358,15.452513966480444,10.105307262569832,0,0,,31.4,,,1991-2020_BASELINE_PENDING,PASS
102,ASOS,124.71237,37.97396,36,2022,358,358,14.450279329608943,9.505307262569831,0,2,,31.5,,,1991-2020_BASELINE_PENDING,PASS
102,ASOS,124.71237,37.97396,36,2023,358,358,15.260893854748607,10.206424581005585,0,0,,30.1,,,1991-2020_BASELINE_PENDING,PASS
102,ASOS,124.71237,37.97396,36,2024,359,359,15.99387186629527,10.891922005571036,0,11,,30.8,,,1991-2020_BASELINE_PENDING,PASS
102,ASOS,124.71237,37.97396,36,2025,358,358,15.285754189944129,10.18882681564246,0,2,,32,,,1991-2020_BASELINE_PENDING,PASS
104,ASOS,128.85535,37.80456,75.24,2021,358,358,17.1086592178771,9.333798882681556,1,1,,33.2,,,1991-2020_BASELINE_PENDING,PASS
104,ASOS,128.85535,37.80456,75.24,2022,358,358,17.115921787709485,9.413966480446923,5,6,,34.5,,,1991-2020_BASELINE_PENDING,PASS
104,ASOS,128.85535,37.80456,75.24,2023,358,358,17.88910614525141,10.24944134078213,6,7,,35.2,,,1991-2020_BASELINE_PENDING,PASS
104,ASOS,128.85535,37.80456,75.24,2024,359,359,18.065181058495803,10.676880222841222,11,20,,36.2,,,1991-2020_BASELINE_PENDING,PASS
104,ASOS,128.85535,37.80456,75.24,2025,358,358,18.298603351955308,9.995530726256979,26,22,,37.1,,,1991-2020_BASELINE_PENDING,PASS
105,ASOS,128.89099,37.75147,27.12,2021,358,358,19.04804469273743,10.729888268156426,9,11,,36.2,,,1991-2020_BASELINE_PENDING,PASS
105,ASOS,128.89099,37.75147,27.12,2022,358,358,19.086592178770946,10.872346368715087,12,24,,37.5,,,1991-2020_BASELINE_PENDING,PASS
105,ASOS,128.89099,37.75147,27.12,2023,358,358,19.77346368715084,11.649441340782115,19,18,,38.3,,,1991-2020_BASELINE_PENDING,PASS
105,ASOS,128.89099,37.75147,27.12,2024,358,358,19.13519553072626,11.78966480446928,26,35,,37.2,,,1991-2020_BASELINE_PENDING,PASS
105,ASOS,128.89099,37.75147,27.12,2025,358,358,19.206424581005592,11.523184357541895,38,39,,38.3,,,1991-2020_BASELINE_PENDING,PASS
