station_id,network,longitude,latitude,elevation_m,year,valid_tmax_days,valid_tmin_days,h02_mean_daily_max_c,h03_mean_daily_min_c,h04_heatwave_days,h05_tropical_nights,h06_wsdi_days,h07_annual_max_daily_max_c,h08_tx90p_days,h09_maximum_warm_spell_days,baseline_years,percentile_baseline_status,quality_status
104,ASOS,128.85535,37.80456,75.24,2021,358,0,17.1086592178771,,1,0,,33.2,,,12,INSUFFICIENT_BASELINE,INSUFFICIENT_DAYS
104,ASOS,128.85535,37.80456,75.24,2022,358,0,17.115921787709485,,5,0,,34.5,,,12,INSUFFICIENT_BASELINE,INSUFFICIENT_DAYS
104,ASOS,128.85535,37.80456,75.24,2023,358,0,17.88910614525141,,6,0,,35.2,,,12,INSUFFICIENT_BASELINE,INSUFFICIENT_DAYS
104,ASOS,128.85535,37.80456,75.24,2024,359,0,18.065181058495803,,11,0,,36.2,,,12,INSUFFICIENT_BASELINE,INSUFFICIENT_DAYS
104,ASOS,128.85535,37.80456,75.24,2025,358,0,18.298603351955308,,26,0,,37.1,,,12,INSUFFICIENT_BASELINE,INSUFFICIENT_DAYS
105,ASOS,128.89099,37.75147,27.12,2021,358,0,19.04804469273743,,9,0,0,36.2,63,5,30,PASS,INSUFFICIENT_DAYS
105,ASOS,128.89099,37.75147,27.12,2022,358,0,19.086592178770946,,12,0,6,37.5,70,6,30,PASS,INSUFFICIENT_DAYS
105,ASOS,128.89099,37.75147,27.12,2023,358,0,19.77346368715084,,19,0,12,38.3,90,6,30,PASS,INSUFFICIENT_DAYS
105,ASOS,128.89099,37.75147,27.12,2024,358,0,19.13519553072626,,26,0,0,37.2,74,5,30,PASS,INSUFFICIENT_DAYS
105,ASOS,128.89099,37.75147,27.12,2025,358,0,19.206424581005592,,38,0,19,38.3,91,11,30,PASS,INSUFFICIENT_DAYS
106,ASOS,129.12433,37.50709,40.46,2021,358,0,17.13770949720671,,0,0,0,31.9,46,4,28,PASS,INSUFFICIENT_DAYS
106,ASOS,129.12433,37.50709,40.46,2022,358,0,17.31340782122905,,3,0,0,33.4,52,4,28,PASS,INSUFFICIENT_DAYS
106,ASOS,129.12433,37.50709,40.46,2023,358,0,18.007821229050283,,7,0,7,35,72,7,28,PASS,INSUFFICIENT_DAYS
106,ASOS,129.12433,37.50709,40.46,2024,357,0,18.64705882352941,,13,0,8,37.7,97,8,28,PASS,INSUFFICIENT_DAYS
106,ASOS,129.12433,37.50709,40.46,2025,358,0,18.34301675977653,,11,0,20,37,92,14,28,PASS,INSUFFICIENT_DAYS
108,ASOS,126.9658,37.57142,85.67,2021,358,0,18.32150837988827,,17,0,8,36.3,78,8,30,PASS,INSUFFICIENT_DAYS
108,ASOS,126.9658,37.57142,85.67,2022,358,0,17.875418994413412,,8,0,0,35.6,54,5,30,PASS,INSUFFICIENT_DAYS
108,ASOS,126.9658,37.57142,85.67,2023,358,0,18.616759776536327,,15,0,28,35.8,70,8,30,PASS,INSUFFICIENT_DAYS
108,ASOS,126.9658,37.57142,85.67,2024,359,0,19.364345403899716,,27,0,21,36.3,97,8,30,PASS,INSUFFICIENT_DAYS
108,ASOS,126.9658,37.57142,85.67,2025,358,0,18.456145251396634,,25,0,23,37.6,82,8,30,PASS,INSUFFICIENT_DAYS
112,ASOS,126.6249,37.47772,68.99,2021,358,0,17.013407821229045,,7,0,17,34,76,10,30,PASS,INSUFFICIENT_DAYS
112,ASOS,126.6249,37.47772,68.99,2022,358,0,16.160335195530717,,2,0,0,35.1,33,5,30,PASS,INSUFFICIENT_DAYS
112,ASOS,126.6249,37.47772,68.99,2023,358,0,17.00251396648044,,3,0,6,34.6,48,6,30,PASS,INSUFFICIENT_DAYS
112,ASOS,126.6249,37.47772,68.99,2024,359,0,17.838440111420606,,10,0,21,35.5,82,8,30,PASS,INSUFFICIENT_DAYS
112,ASOS,126.6249,37.47772,68.99,2025,358,0,16.894134078212293,,11,0,19,35.6,62,7,30,PASS,INSUFFICIENT_DAYS
114,ASOS,127.94659,37.33749,150.11,2021,358,0,17.981564245810063,,14,0,0,34.9,56,5,30,PASS,INSUFFICIENT_DAYS
114,ASOS,127.94659,37.33749,150.11,2022,358,0,17.42430167597765,,5,0,6,34.5,35,6,30,PASS,INSUFFICIENT_DAYS
114,ASOS,127.94659,37.33749,150.11,2023,358,0,18.366201117318443,,10,0,20,34.1,53,7,30,PASS,INSUFFICIENT_DAYS
114,ASOS,127.94659,37.33749,150.11,2024,359,0,19.171309192200553,,20,0,21,35.3,83,9,30,PASS,INSUFFICIENT_DAYS
114,ASOS,127.94659,37.33749,150.11,2025,358,0,18.382960893854744,,23,0,20,36.7,69,7,30,PASS,INSUFFICIENT_DAYS
115,ASOS,130.89863,37.48129,221.14,2021,356,0,16.483707865168533,,0,0,0,31.8,52,5,30,PASS,INSUFFICIENT_DAYS
115,ASOS,130.89863,37.48129,221.14,2022,358,0,16.566201117318453,,0,0,0,32.4,62,5,30,PASS,INSUFFICIENT_DAYS
115,ASOS,130.89863,37.48129,221.14,2023,358,0,17.50446927374302,,1,0,7,33.1,92,7,30,PASS,INSUFFICIENT_DAYS
115,ASOS,130.89863,37.48129,221.14,2024,359,0,17.407520891364907,,2,0,11,33.4,87,11,30,PASS,INSUFFICIENT_DAYS
115,ASOS,130.89863,37.48129,221.14,2025,358,0,17.235754189944135,,1,0,28,33.3,90,12,30,PASS,INSUFFICIENT_DAYS
119,ASOS,126.983,37.25746,39.81,2021,358,0,18.296648044692727,,15,0,14,36.3,73,8,30,PASS,INSUFFICIENT_DAYS
119,ASOS,126.983,37.25746,39.81,2022,358,0,17.690782122905027,,7,0,9,34.5,49,9,30,PASS,INSUFFICIENT_DAYS
119,ASOS,126.983,37.25746,39.81,2023,358,0,18.405027932960884,,14,0,14,34.7,61,8,30,PASS,INSUFFICIENT_DAYS
119,ASOS,126.983,37.25746,39.81,2024,359,0,18.947910863509744,,23,0,14,35,74,8,30,PASS,INSUFFICIENT_DAYS
119,ASOS,126.983,37.25746,39.81,2025,358,0,18.063966480446926,,16,0,12,36,59,6,30,PASS,INSUFFICIENT_DAYS
121,ASOS,128.45743,37.18126,240.54,2021,358,0,17.98407821229052,,14,0,7,35.5,70,7,26,PASS,INSUFFICIENT_DAYS
121,ASOS,128.45743,37.18126,240.54,2022,358,0,17.710614525139658,,7,0,6,34.7,44,6,26,PASS,INSUFFICIENT_DAYS
121,ASOS,128.45743,37.18126,240.54,2023,358,0,18.387150837988827,,11,0,23,34.8,66,8,26,PASS,INSUFFICIENT_DAYS
121,ASOS,128.45743,37.18126,240.54,2024,359,0,18.942339832869084,,20,0,9,36.1,73,9,26,PASS,INSUFFICIENT_DAYS
121,ASOS,128.45743,37.18126,240.54,2025,358,0,18.11256983240224,,23,0,21,36.7,68,8,26,PASS,INSUFFICIENT_DAYS
127,ASOS,127.9525,36.97045,114.85,2021,358,0,18.13631284916202,,15,0,,34.3,,,23,INSUFFICIENT_BASELINE,INSUFFICIENT_DAYS
127,ASOS,127.9525,36.97045,114.85,2022,358,0,17.793575418994408,,8,0,,34.3,,,23,INSUFFICIENT_BASELINE,INSUFFICIENT_DAYS
127,ASOS,127.9525,36.97045,114.85,2023,358,0,18.682122905027935,,14,0,,35.2,,,23,INSUFFICIENT_BASELINE,INSUFFICIENT_DAYS
127,ASOS,127.9525,36.97045,114.85,2024,359,0,19.21894150417828,,29,0,,35,,,23,INSUFFICIENT_BASELINE,INSUFFICIENT_DAYS
127,ASOS,127.9525,36.97045,114.85,2025,354,0,18.480790960451987,,25,0,,35.6,,,23,INSUFFICIENT_BASELINE,INSUFFICIENT_DAYS
129,ASOS,126.4939,36.77658,25.25,2021,358,0,18.4913407821229,,15,0,17,35.2,86,10,30,PASS,INSUFFICIENT_DAYS
129,ASOS,126.4939,36.77658,25.25,2022,358,0,17.356703910614513,,6,0,0,34,46,5,30,PASS,INSUFFICIENT_DAYS
129,ASOS,126.4939,36.77658,25.25,2023,358,0,18.30167597765363,,10,0,20,34.9,78,7,30,PASS,INSUFFICIENT_DAYS
129,ASOS,126.4939,36.77658,25.25,2024,359,0,18.908913649025045,,20,0,15,35.8,91,8,30,PASS,INSUFFICIENT_DAYS
