file,indicator_id,dimension,component,indicator_code,indicator_ko,definition,scenario,period,period_ko,period_years,normalized,normalization_min,normalization_max,valid_cells,min,max,mean,std
H_climate_HW33_SSP245_ST_100m_z.tif,H_climate_HW33_SSP245_ST_100m_z,H,미래 기후변화,HW33,폭염일수,33도 이상인 날의 수(연평균),SSP245,ST,단기,2021-2040,True,11.051124572753906,27.0706729888916,12487,0.0,1.0,0.5233356952667236,0.190912127494812
H_climate_TR25_SSP245_ST_100m.tif,H_climate_TR25_SSP245_ST_100m,H,미래 기후변화,TR25,열대야일수,최저기온이 25도 이상인 날의 수(연평균),SSP245,ST,단기,2021-2040,False,,,12487,4.52287483215332,20.940000534057617,15.340869903564453,2.8571033477783203
H_climate_TR25_SSP245_ST_100m_z.tif,H_climate_TR25_SSP245_ST_100m_z,H,미래 기후변화,TR25,열대야일수,최저기온이 25도 이상인 날의 수(연평균),SSP245,ST,단기,2021-2040,True,4.52287483215332,20.940000534057617,12487,0.0,1.0,0.6589456796646118,0.17403189837932587
H_climate_WSDI_SSP245_ST_100m.tif,H_climate_WSDI_SSP245_ST_100m,H,미래 기후변화,WSDI,온난일 계속기간,온난일 계속기간,SSP245,ST,단기,2021-2040,False,,,12487,32.922298431396484,37.710723876953125,35.74983596801758,0.9543484449386597
H_climate_WSDI_SSP245_ST_100m_z.tif,H_climate_WSDI_SSP245_ST_100m_z,H,미래 기후변화,WSDI,온난일 계속기간,온난일 계속기간,SSP245,ST,단기,2021-2040,True,32.922298431396484,37.710723876953125,12487,0.0,1.0,0.5904939770698547,0.19930316507816315
H_climate_HW33_SSP245_MT_100m.tif,H_climate_HW33_SSP245_MT_100m,H,미래 기후변화,HW33,폭염일수,33도 이상인 날의 수(연평균),SSP245,MT,중기,2041-2060,False,,,12487,16.989099502563477,36.86104965209961,28.087919235229492,3.7602462768554688
H_climate_HW33_SSP245_MT_100m_z.tif,H_climate_HW33_SSP245_MT_100m_z,H,미래 기후변화,HW33,폭염일수,33도 이상인 날의 수(연평균),SSP245,MT,중기,2041-2060,True,16.989099502563477,36.86104965209961,12487,0.0,1.0,0.5585168600082397,0.18922382593154907
H_climate_TR25_SSP245_MT_100m.tif,H_climate_TR25_SSP245_MT_100m,H,미래 기후변화,TR25,열대야일수,최저기온이 25도 이상인 날의 수(연평균),SSP245,MT,중기,2041-2060,False,,,12487,10.116101264953613,31.81062126159668,25.109893798828125,3.6264028549194336
H_climate_TR25_SSP245_MT_100m_z.tif,H_climate_TR25_SSP245_MT_100m_z,H,미래 기후변화,TR25,열대야일수,최저기온이 25도 이상인 날의 수(연평균),SSP245,MT,중기,2041-2060,True,10.116101264953613,31.81062126159668,12487,0.0,1.0,0.6911328434944153,0.16715756058692932
H_climate_WSDI_SSP245_MT_100m.tif,H_climate_WSDI_SSP245_MT_100m,H,미래 기후변화,WSDI,온난일 계속기간,온난일 계속기간,SSP245,MT,중기,2041-2060,False,,,12487,44.45595169067383,49.87470245361328,47.787269592285156,1.1854215860366821
