gid,sido_cd,sido_nm,sgg_nm,sgg_cd,pop_r,pop_w,pc_in,pc_out,type,bd_cnt,apt_cnt,dh_cnt,cp_cnt,wk_cnt
다사5718,31,경기도,수원시 권선구,31012,19097,12037,4.033586229105653,4.765180376304754,중심지Ⅰ,1232.0,202.0,624.0,2283.0,8887.0
다사5514,31,경기도,수원시 권선구,31012,113,418,0.140829549472306,0.02860742936032,중심지Ⅲ-1,137.0,1.0,39.0,126.0,662.0
다사5423,31,경기도,수원시 장안구,31011,17710,5134,1.597153618870896,5.771694829716836,중심지Ⅰ,506.0,121.0,247.0,894.0,4081.0
다사5516,31,경기도,수원시 권선구,31012,5,59,0.02075811278349,0.000583825088986,주변부,1.0,0.0,0.0,0.0,54.0
다사5723,31,경기도,수원시 장안구,31011,792,509,0.178275556846446,0.251044788264034,중심지Ⅱ,25.0,3.0,5.0,26.0,372.0
다사5221,31,경기도,수원시 권선구,31012,4115,1007,0.301603168089535,1.397677263032784,중심지Ⅰ,195.0,70.0,40.0,212.0,604.0
다사5821,31,경기도,수원시 팔달구,31013,13591,6024,1.838517557706381,4.833487911716132,중심지Ⅰ,1292.0,164.0,896.0,1132.0,5966.0
다사5517,31,경기도,수원시 권선구,31012,558,1863,0.641466387191777,0.206674081501088,중심지Ⅱ,281.0,13.0,104.0,352.0,1518.0
다사5816,31,경기도,수원시 권선구,31012,28945,5915,1.69728098641479,9.538534303855315,중심지Ⅰ,505.0,213.0,224.0,1450.0,3892.0
다사5119,31,경기도,수원시 권선구,31012,18644,5919,1.772987044801637,6.193216543964818,중심지Ⅰ,328.0,141.0,80.0,1624.0,5482.0
다사5725,31,경기도,수원시 장안구,31011,93,35,0.009768523662819,0.021017703203501,주변부,42.0,0.0,30.0,11.0,25.0
다사4920,31,경기도,수원시 권선구,31012,43,6,0.001628087277136,0.015763277402625,주변부,26.0,0.0,15.0,5.0,5.0
다사5815,31,경기도,수원시 권선구,31012,16010,3900,1.187282646851785,3.742318820401063,중심지Ⅰ,548.0,111.0,267.0,1211.0,3132.0
다사5215,31,경기도,수원시 권선구,31012,3772,1278,0.411092037476964,1.179910504840959,중심지Ⅰ,169.0,47.0,36.0,260.0,1025.0
다사5520,31,경기도,수원시 팔달구,31013,21024,6190,1.74164636471676,7.120330785274784,중심지Ⅰ,1356.0,238.0,891.0,1532.0,3947.0
다사6116,31,경기도,수원시 영통구,31014,29877,6119,1.796187288500832,10.833458351226541,중심지Ⅰ,305.0,163.0,77.0,1138.0,3457.0
다사5714,31,경기도,수원시 권선구,31012,125,923,0.316662975403047,0.055463383453682,중심지Ⅲ-1,148.0,0.0,18.0,214.0,822.0
다사5519,31,경기도,수원시 팔달구,31013,16440,3962,1.230019937876618,5.889043672603046,중심지Ⅰ,825.0,182.0,374.0,946.0,2306.0
다사5217,31,경기도,수원시 권선구,31012,5672,5717,2.025340572757793,1.914946291874491,중심지Ⅰ,219.0,54.0,54.0,1084.0,4324.0
다사6121,31,경기도,수원시 영통구,31014,10942,8202,2.802345225771183,4.017300437313528,중심지Ⅰ,233.0,72.0,107.0,1775.0,7129.0
다사5421,31,경기도,수원시 장안구,31011,21907,4206,1.208447781454559,7.432677207882362,중심지Ⅰ,209.0,130.0,45.0,778.0,2460.0
다사6117,31,경기도,수원시 영통구,31014,13904,6540,2.129945180313813,5.104382753005694,중심지Ⅰ,422.0,58.0,99.0,1188.0,5066.0
다사5424,31,경기도,수원시 장안구,31011,2622,3685,1.305725996263465,0.871067032767299,중심지Ⅰ,256.0,28.0,93.0,238.0,4079.0
다사6020,31,경기도,수원시 영통구,31014,18777,5321,1.741239342897476,6.751353329035554,중심지Ⅰ,175.0,88.0,18.0,1704.0,5956.0
다사5422,31,경기도,수원시 장안구,31011,15533,7168,2.343224613618692,4.72372879498674,중심지Ⅰ,357.0,106.0,123.0,893.0,4427.0
다사5317,31,경기도,수원시 권선구,31012,2456,2877,0.998831544523236,0.921275990420106,중심지Ⅰ,121.0,28.0,14.0,239.0,2179.0
다사5425,31,경기도,수원시 장안구,31011,13,49,0.017501938229217,0.004670600711889,주변부,7.0,0.0,2.0,5.0,26.0
다사5624,31,경기도,수원시 장안구,31011,8,8,0.003256174554273,0.002335300355945,주변부,4.0,0.0,1.0,3.0,5.0
다사6017,31,경기도,수원시 영통구,31014,1327,63354,23.937767235737805,0.638120822261835,중심지Ⅱ,240.0,0.0,61.0,328.0,40908.0
다사5823,31,경기도,수원시 장안구,31011,145,20,0.006512349108546,0.047873657296862,주변부,28.0,10.0,12.0,12.0,25.0
다사5526,31,경기도,수원시 장안구,31011,0,0,0.0,0.0,주변부,0.0,0.0,0.0,0.0,0.0
다사4918,31,경기도,수원시 권선구,31012,0,117,0.041923247386265,0.0,주변부,7.0,0.0,0.0,0.0,89.0
다사5626,31,경기도,수원시 장안구,31011,0,0,0.0,0.0,주변부,0.0,0.0,0.0,0.0,0.0
다사5727,31,경기도,수원시 장안구,31011,0,0,0.0,0.0,주변부,0.0,0.0,0.0,0.0,0.0
다사5515,31,경기도,수원시 권선구,31012,0,0,0.0,0.0,주변부,0.0,0.0,0.0,0.0,0.0
다사5615,31,경기도,수원시 권선구,31012,0,0,0.0,0.0,주변부,0.0,0.0,0.0,0.0,0.0
다사5826,31,경기도,수원시 장안구,31011,0,0,0.0,0.0,주변부,0.0,0.0,0.0,0.0,0.0
