grid_id,center_x,center_y,distance_m,distance_z,accessibility_z,nearest_shelter_name,nearest_shelter_no,nearest_shelter_lon,nearest_shelter_lat,nearest_shelter_x_5179,nearest_shelter_y_5179
763,958450.0,1925550.0,2444.006748529056,0.5012462,0.4987538,광교대광로제비앙경로당,4111700145,127.0405555,37.3073564,959285.4498524873,1923253.2212708155
764,958550.0,1925550.0,2411.6548294393433,0.4946103,0.5053897,광교대광로제비앙경로당,4111700145,127.0405555,37.3073564,959285.4498524873,1923253.2212708155
765,958650.0,1925550.0,2383.0629546574396,0.4887457,0.5112543,광교대광로제비앙경로당,4111700145,127.0405555,37.3073564,959285.4498524873,1923253.2212708155
766,958750.0,1925550.0,2358.367883805066,0.48368037,0.51631963,광교대광로제비앙경로당,4111700145,127.0405555,37.3073564,959285.4498524873,1923253.2212708155
767,958850.0,1925550.0,2337.693116058163,0.47943965,0.5205604,광교대광로제비앙경로당,4111700145,127.0405555,37.3073564,959285.4498524873,1923253.2212708155
768,958950.0,1925550.0,2321.146082082785,0.47604558,0.5239544,광교대광로제비앙경로당,4111700145,127.0405555,37.3073564,959285.4498524873,1923253.2212708155
769,959050.0,1925550.0,2308.8155326640544,0.47351637,0.52648365,광교대광로제비앙경로당,4111700145,127.0405555,37.3073564,959285.4498524873,1923253.2212708155
770,952950.0,1925450.0,869.7761324446924,0.17834722,0.82165277,이화경로당,4111003,126.9750117,37.3207062,953485.34659343,1924764.496866912
771,953050.0,1925450.0,812.0598511713533,0.16650873,0.83349127,이화경로당,4111003,126.9750117,37.3207062,953485.34659343,1924764.496866912
772,953150.0,1925450.0,763.1329394007533,0.15647306,0.84352696,이화경로당,4111003,126.9750117,37.3207062,953485.34659343,1924764.496866912
773,953250.0,1925450.0,724.7775965856197,0.14860578,0.85139424,이화경로당,4111003,126.9750117,37.3207062,953485.34659343,1924764.496866912
774,953350.0,1925450.0,698.736893133904,0.14326443,0.8567356,이화경로당,4111003,126.9750117,37.3207062,953485.34659343,1924764.496866912
775,953450.0,1925450.0,686.4138162511111,0.14073679,0.8592632,이화경로당,4111003,126.9750117,37.3207062,953485.34659343,1924764.496866912
776,953550.0,1925450.0,688.5452842438234,0.14117399,0.85882604,이화경로당,4111003,126.9750117,37.3207062,953485.34659343,1924764.496866912
777,953650.0,1925450.0,705.0002055094743,0.14454913,0.85545087,이화경로당,4111003,126.9750117,37.3207062,953485.34659343,1924764.496866912
778,953750.0,1925450.0,734.8169643403685,0.15066501,0.84933496,이화경로당,4111003,126.9750117,37.3207062,953485.34659343,1924764.496866912
779,953850.0,1925450.0,776.457759569951,0.15920618,0.84079385,이화경로당,4111003,126.9750117,37.3207062,953485.34659343,1924764.496866912
780,953950.0,1925450.0,828.1408900123101,0.16980718,0.8301928,이화경로당,4111003,126.9750117,37.3207062,953485.34659343,1924764.496866912
781,954050.0,1925450.0,888.1148658953832,0.18210877,0.81789124,이화경로당,4111003,126.9750117,37.3207062,953485.34659343,1924764.496866912
782,954150.0,1925450.0,954.8186719678077,0.19579075,0.80420923,이화경로당,4111003,126.9750117,37.3207062,953485.34659343,1924764.496866912
783,954250.0,1925450.0,1026.9417596204576,0.21058431,0.7894157,이화경로당,4111003,126.9750117,37.3207062,953485.34659343,1924764.496866912
784,954350.0,1925450.0,1103.4219768367652,0.22627158,0.77372843,이화경로당,4111003,126.9750117,37.3207062,953485.34659343,1924764.496866912
785,954450.0,1925450.0,1183.4148639764283,0.24267937,0.75732064,이화경로당,4111003,126.9750117,37.3207062,953485.34659343,1924764.496866912
786,954550.0,1925450.0,1260.88132202389,0.2585689,0.7414311,이목경로당,4111004,126.9846113,37.3157318,954332.8804252825,1924207.9529805586
787,954650.0,1925450.0,1281.8914240965216,0.26287842,0.7371216,이목경로당,4111004,126.9846113,37.3157318,954332.8804252825,1924207.9529805586
788,954750.0,1925450.0,1310.2173629271228,0.2686885,0.7313115,이목경로당,4111004,126.9846113,37.3157318,954332.8804252825,1924207.9529805586
789,954850.0,1925450.0,1345.397135814998,0.27590442,0.7240956,이목경로당,4111004,126.9846113,37.3157318,954332.8804252825,1924207.9529805586
790,954950.0,1925450.0,1386.9092861476902,0.2844192,0.7155808,이목경로당,4111004,126.9846113,37.3157318,954332.8804252825,1924207.9529805586
791,955050.0,1925450.0,1434.2040590328113,0.2941201,0.7058799,이목경로당,4111004,126.9846113,37.3157318,954332.8804252825,1924207.9529805586
792,955150.0,1925450.0,1486.7296990003554,0.3048939,0.6951061,이목경로당,4111004,126.9846113,37.3157318,954332.8804252825,1924207.9529805586
793,955250.0,1925450.0,1543.9524321795614,0.31663117,0.6833688,이목경로당,4111004,126.9846113,37.3157318,954332.8804252825,1924207.9529805586
794,955350.0,1925450.0,1605.370059449434,0.32922888,0.6707711,이목경로당,4111004,126.9846113,37.3157318,954332.8804252825,1924207.9529805586
795,955450.0,1925450.0,1670.5199617844064,0.34259212,0.6574079,이목경로당,4111004,126.9846113,37.3157318,954332.8804252825,1924207.9529805586
796,955550.0,1925450.0,1738.9827076954132,0.35663489,0.64336514,이목경로당,4111004,126.9846113,37.3157318,954332.8804252825,1924207.9529805586
