RSTR_FCLTY_NO,RSTR_NM,RN_DTL_ADRES,ARCD,LO,LA,x_5179,y_5179,USE_PSBL_NMPR,FCLTY_TY
4111067,청솔마을SK한화(아)경로당,경기도 수원시 장안구 만석로20번길 25,4111157300,126.9856337,37.2947611,954410.814586797,1921880.9662888937,20.0,3
4111068,북수원리버파크경로당,경기도 수원시 장안구 천천로74번길 35,4111157300,126.9858041,37.3004189,954429.330999021,1922508.5606685355,16.0,3
4111100109,송죽동행정복지센터,경기도 수원시 장안구 송원로41번길 16-21 (송죽동주민센터),4111159100,127.006774,37.300228,956287.6928179293,1922477.480870024,,1
4111300130,고색향토문화전시관,경기도 수원시 권선구 오목천로 276 (고색동향토문화전시관),4111355000,126.9904,37.248087,954805.3723380679,1916700.6764924433,,1
4111500118,고등동행정복지센터,경기도 수원시 팔달구 고등로 37 (고등동주민센터),4111567000,127.00109,37.273407,955768.2465469548,1919504.608586406,20.0,1
4111395,하늘채(아)경로당,"경기도 수원시 영통구 효원로 363 (매탄동, 매탄 위브 하늘채)",4111753000,127.0414889,37.2618091,959343.6692748598,1918199.8229205697,29.0,3
4111396,위브(아)경로당,"경기도 수원시 영통구 효원로 363 (매탄동, 매탄 위브 하늘채)",4111753000,127.0414567,37.2615359,959340.6672098583,1918169.5281884433,47.0,3
4111397,효원경로당,경기도 수원시 영통구 매탄로65번길 17 (매탄동),4111753000,127.0404214,37.2570528,959246.4506693359,1917672.6225453054,34.0,1
4111500079,인계꿈에그린(아)경로당,"경기도 수원시 팔달구 효원로308번길 16 (인계동, 한화 꿈에그린 파크)",4111573000,127.0345259,37.2602892,958725.4247406714,1918034.2208064478,39.0,3
4111500080,인계레미안노블클래스(아)경로당,"경기도 수원시 팔달구 권광로 246 (인계동, 래미안 노블클래스)",4111573000,127.036103,37.2694083,958870.2301169157,1919045.1997639125,33.0,3
4111401,새터경로당,경기도 수원시 영통구 동수원로286번길 33-3 (매탄동),4111753000,127.0380208,37.2548987,959032.4075435747,1917434.6852298046,28.0,1
4111402,임광(아)경로당,경기도 수원시 영통구 권선로803번길 5 (매탄동),4111753000,127.0386082,37.2573389,959085.8173167624,1917705.1445417895,35.0,3
4111700139,수원박물관,경기도 수원시 영통구 창룡대로 265 (이의동),4111760000,127.0359,37.2977,958867.6325871951,1922183.956477247,50.0,1
4111300136,구운동행정복지센터,경기도 수원시 권선구 구운로47번길 57-33 (구운동주민센터),4111365000,126.97149,37.27713,953146.2939239736,1919931.8869931758,19.0,1
4111387,원천성일1차경로당,"경기도 수원시 영통구 동탄원천로1109번길 42 (매탄동, 원천성일아파트)",4111752000,127.0565414,37.270689,960683.003733544,1919178.590452473,36.0,3
4111019,밤밭경로당,경기도 수원시 장안구 율전로85번길 17-4,4111156600,126.9673579,37.2975466,952792.7269137048,1922198.9578249976,15.0,3
4111388,한국1차(아)경로당,"경기도 수원시 영통구 동탄원천로1109번길 37 (매탄동, 한국아파트)",4111752000,127.0565522,37.2690924,960683.1310816283,1919001.4604233108,31.0,3
4111180,가림리경로당,경기도 수원시 권선구 매송고색로503번길 89,4111355000,126.9564895,37.2465685,951796.9787835177,1916548.9444887412,28.0,3
4111080,연꽃마을풍림(아)경로당,경기도 수원시 장안구 정자천로189번길 47,4111157300,126.9935915,37.2981856,955118.1680149493,1922257.0732072731,28.0,3
4111376,가마니골경로당,경기도 수원시 영통구 권광로304번길 32 (매탄동),4111751000,127.0387155,37.2741318,959104.4144308289,1919568.0891329222,25.0,1
4111379,우성(아)경로당,"경기도 수원시 영통구  권광로290번길  34-18  (매탄동, 우성아파트)",4111751000,127.0378,37.2735,959022.9070538245,1919498.3937974472,8.0,3
4111380,주막거리경로당,경기도 수원시 영통구 매여울로68번길 23 (매탄동),4111751000,127.0450455,37.2730262,959665.0195318284,1919442.7170122159,33.0,1
4111381,현대힐스테이트(아)경로당,"경기도 수원시 영통구  권광로260번길  36   (매탄동, 현대힐스테이트아파트)",4111751000,127.0402828,37.2712941,959241.8358470235,1919252.6002273764,62.0,3
4111382,극동(아)경로당,"경기도 수원시 영통구 매봉로27번길 11 (매탄동, 극동아파트)",4111752000,127.0518315,37.2699376,960265.02730889,1919097.198385151,14.0,3
4111383,금성(아)경로당,"경기도 수원시 영통구 동탄원천로 1089 (매탄동, 금성아파트)",4111752000,127.0557153,37.2681916,960608.4603829045,1918901.8745043373,15.0,3
4111384,동남연립경로당,"경기도 수원시 영통구 매영로 9 (매탄동, 동남빌라)",4111752000,127.0452,37.2707,959677.4765658866,1919184.5841707205,25.0,3
4111385,매탄2동경로당,경기도 수원시 영통구 매여울로10번길 14-20 (매탄동),4111752000,127.0473817,37.2716772,959871.4255986047,1919292.066424568,18.0,1
4111300,서수원자이(아)경로당,"경기도 수원시 권선구  입북로  50   (입북동, 서수원 자이아파트)",4111370000,126.9596731,37.2960656,952110.6902900895,1922038.5200018685,30.0,3
4111469,희망경로당,경기도 수원시 영통구 신원로250번길 68-3,4111758500,127.063764,37.257185,961316.455580751,1917677.4922334205,29.0,1
4111470,건영2차(아)경로당,"경기도 수원시 영통구 매영로 346 (영통동, 신나무실 건영아파트)",4111758500,127.0694053,37.2511092,961813.6379719245,1917001.1589422715,28.0,1
4111386,산남경로당,경기도 수원시 영통구 매봉로35번길 43 (매탄동),4111752000,127.0504206,37.2716922,960140.8600866543,1919292.4458750954,20.0,1
4111275,신동아대원(아)경로당,"경기도 수원시 권선구  권중로  136   (권선동, 신동아아파트)",4111368000,127.0321541,37.2486858,958508.7478222158,1916747.988058663,23.0,3
4111258,삼천리2차(아)경로당,"경기도 수원시 권선구  매탄로  25   (권선동, 삼천리권선2차아파트)",4111367000,127.0379595,37.2542085,959026.597724969,1917358.1416683698,16.0,3
4111105,보훈복지타운제2경로당,경기도 수원시 장안구 수일로336번길 9,4111159700,127.0222621,37.2993827,957659.8653064461,1922376.6550343167,30.0,3
4111259,중앙경로당,경기도 수원시 권선구  세지로112번길  25-18  (권선동),4111367000,127.0211313,37.2620649,957538.6866757869,1918237.141722722,27.0,3
4111269,아이파크시티4단지(아)경로당,경기도 수원시 권선구  동수원로145번길  23   (권선동),4111368000,127.0278959,37.2418066,958127.2980041698,1915986.6923780488,23.0,3
4111032,천천삼성래미안(아)경로당,경기도 수원시 장안구 화산로187번길 19,4111156600,126.9758626,37.2978626,953546.6857839581,1922229.8025864852,30.0,3
4111033,천천푸르지오(아)경로당,"경기도 수원시 장안구  화산로  85 , 208동 (천천동, 천천 푸르지오)",4111156600,126.9805529,37.2911548,953958.2933624639,1921483.3451861194,25.0,3
4111107,보훈복지타운제4경로당,경기도 수원시 장안구 수일로336번길 9,4111159700,127.022,37.2989971,957636.419942847,1922333.994013725,25.0,3
4111435,광교센트럴타운60단지경로당,"경기도 수원시 영통구  센트럴타운로22번길  36   (이의동, 광교센트럴타운60단지)",4111760000,127.0590369,37.2892846,960913.8729148625,1921240.5407977984,48.0,3
4111436,광교마을40단지경로당,"경기도 수원시 영통구  광교마을로  156   (하동, 광교마을40단지)",4111761000,127.0840677,37.2950316,963135.3702900653,1921868.0585345002,90.0,3
4111437,광교호반마을21단지경로당,"경기도 수원시 영통구  광교호수로152번길  80   (하동, 광교호반마을21단지)",4111761000,127.0679688,37.2769671,961699.3418073583,1919870.3904133635,30.0,3
4111438,광교더리브(아)경로당,"경기도 수원시 영통구  센트럴파크로  34   (하동, 광교센트럴타운62단지)",4111761000,127.063424,37.2894941,961302.8464063595,1921261.9784509228,70.0,3
4111100103,북수원도서관,경기도 수원시 장안구 만석로 65 (정자동),4111157300,126.9884,37.2977,954657.762435244,1922205.6777072914,800.0,1
4111700138,태장마루도서관,경기도 수원시 영통구 태장로 46 (망포동),4111759600,127.051,37.2388,960174.9179940502,1915643.1755275696,300.0,1
4111100107,장안구청,경기도 수원시 장안구 송원로 101 (장안구청),4111159800,127.010086,37.303757,956583.2505357087,1922867.4620197276,,1
4111500130,우만2동행정복지센터,경기도 수원시 팔달구 중부대로207번길 33 (우만2동주민센터),4111572000,127.039727,37.277946,959196.1491931868,1919990.7973861813,,1
4111100116,조원2동행정복지센터,경기도 수원시 장안구 송원로 109-50 (조원2동행정복지센터),4111159800,127.009567,37.305627,956538.3320890423,1923075.1584050693,,1
4111100112,정자1동행정복지센터,경기도 수원시 장안구 정자로130번길 20 (정자1동주민센터),4111157100,126.991121,37.3022,954901.6087444094,1922703.6065519277,20.0,1
4111700147,더샵광교레이크시티경로당,"경기도 수원시 영통구 광교호수공원로 20  (원천동, 더샵 광교레이크시티)",4111755000,127.0605272,37.2721745,961037.1517658492,1919341.7417427553,24.0,1
4111500129,팔달구청무더위쉼터,경기도 수원시 팔달구 창룡대로 21 (수원화성박물관),4111574000,127.019474,37.28259,957403.2983708367,1920514.9291553386,,1
4111500117,팔달문전시실,경기도 수원시 팔달구 정조로 782,4111574000,127.017243,37.277819,957202.826576903,1919986.6435611416,10.0,1
4111700158,원천동행정복지센터,경기도 수원시 영통구 중부대로 339 (원천동주민센터),4111755000,127.053307,37.273613,960397.772185256,1919504.325874024,50.0,1
4111300124,입북동행정복지센터,경기도 수원시 권선구 입북로 17 (입북동주민센터),4111370000,126.959522,37.293206,952095.484837688,1921721.3522191152,34.0,1
4111700156,영통2동문화센터,경기도 수원시 영통구 영통로217번길 18,4111758000,127.055971,37.246927,960620.0633005392,1916542.6950215418,14.0,1
4111700157,망포2동행정복지센터,경기도 수원시 영통구 태장로54번길 10 (망포2동행정복지센터),4111759600,127.051647,37.238797,960232.30387977,1915642.57076019,10.0,1
4111500125,인계동행정복지센터대강당,경기도 수원시 팔달구 인계로 123 (KBS수원방송센타),4111573000,127.032043,37.269307,958510.2069947501,1919035.734283142,,1
4111700163,광교1동행정복지센터,경기도 수원시 영통구 도청로89번길 20 (광교1동주민센터),4111760000,127.047478,37.290159,959889.7726220589,1921342.3863443413,,1
4111100115,영화동행정복지센터,경기도 수원시 장안구 수성로382번길 24 (영화동행정복지센터 및 공영주차장),4111158000,127.014018,37.292999,956925.5767565811,1921672.1718308113,,1
4111100117,율천동행정복지센터,경기도 수원시 장안구 서부로2106번길 27 (율천동행정복지센터),4111156600,126.971367,37.297532,953148.0411133528,1922195.3439790355,,1
4111500126,우만1동새마을문고,경기도 수원시 팔달구 세지로 406 (우만1동행정복지센터),4111571000,127.029415,37.285354,958286.0591614913,1920817.1354761722,,1
4111300119,칠보마을9단지(아)경로당,"경기도 수원시 권선구 금곡로140번길 73  (호매실동, 극동스타클래스)",4111366400,126.9461793,37.2709707,950898.4197724566,1919261.4123240302,23.0,3
4111300118,LH수원당수2단지(아),경기도 수원시 권선구 당수1로 15,4111366200,126.943895,37.280598,950702.1713036131,1920330.651350401,38.0,3
4111300135,금곡동행정복지센터,경기도 수원시 권선구 금곡로196번길 20 (금곡동주민센터),4111366200,126.952215,37.272697,951434.656460271,1919449.8121118234,10.0,1
4111700146,영통엘클래스2단지경로당,"경기도 수원시 영통구 망포로48번길 7  (망포동, 영통 롯데캐슬 엘클래스 2단지)",4111759600,127.039032,37.2401302,959114.1012358294,1915795.8473976674,25.0,1
4111300137,LH수원당수2단지아파트경로당,경기도 수원시 권선구 당수1로 15,4111366200,126.943836,37.280539,950696.9025165852,1920324.1366467811,48.0,3
4111300132,세류1동행정복지센터,경기도 수원시 권선구 세류로38번길 10 (세류1동주민센터),4111352000,127.008077,37.262211,956381.2378877611,1918259.2874539548,100.0,1
