SGG_NM,chronic_disease_ratio_proxy,avg_annual_patients_2021_2023,population_grid_sum
권선구,0.7896508161006539,285858.3333333333,362006.0
영통구,0.7521117761817314,271535.6666666667,361031.0
장안구,0.7592805246732982,207617.66666666666,273440.0
팔달구,0.7457652016322571,145535.33333333334,195149.0
