grid_id,gid,lbl,centroid_x,centroid_y,row,col,ADM_CD,ADM_NM,dist_to_admin,SGG_NM,population,single_household_ratio,low_income_ratio_proxy,chronic_disease_ratio_proxy
1,다사573281,,957350.0,1928150.0,0,82,31011610,연무동,43.86671098293563,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
2,다사574281,,957450.0,1928150.0,0,83,31011610,연무동,40.80485284027395,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
3,다사571280,,957150.0,1928050.0,1,80,31011610,연무동,31.030153247612866,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
4,다사572280,,957250.0,1928050.0,1,81,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
5,다사573280,,957350.0,1928050.0,1,82,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
6,다사574280,,957450.0,1928050.0,1,83,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
7,다사575280,,957550.0,1928050.0,1,84,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
8,다사576280,,957650.0,1928050.0,1,85,31011610,연무동,42.883434687273606,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
9,다사569279,,956950.0,1927950.0,2,78,31011610,연무동,35.93710631319933,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
10,다사570279,,957050.0,1927950.0,2,79,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
11,다사571279,,957150.0,1927950.0,2,80,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
12,다사572279,,957250.0,1927950.0,2,81,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
13,다사573279,,957350.0,1927950.0,2,82,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
14,다사574279,,957450.0,1927950.0,2,83,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
15,다사575279,,957550.0,1927950.0,2,84,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
16,다사576279,,957650.0,1927950.0,2,85,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
17,다사577279,,957750.0,1927950.0,2,86,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
18,다사578279,,957850.0,1927950.0,2,87,31011610,연무동,55.462382276836266,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
19,다사569278,,956950.0,1927850.0,3,78,31011610,연무동,22.454103651478576,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
20,다사570278,,957050.0,1927850.0,3,79,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
21,다사571278,,957150.0,1927850.0,3,80,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
22,다사572278,,957250.0,1927850.0,3,81,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
23,다사573278,,957350.0,1927850.0,3,82,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
24,다사574278,,957450.0,1927850.0,3,83,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
25,다사575278,,957550.0,1927850.0,3,84,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
26,다사576278,,957650.0,1927850.0,3,85,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
27,다사577278,,957750.0,1927850.0,3,86,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
28,다사578278,,957850.0,1927850.0,3,87,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
29,다사579278,,957950.0,1927850.0,3,88,31011610,연무동,39.27998255157471,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
30,다사580278,,958050.0,1927850.0,3,89,31011610,연무동,36.40821270315483,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
31,다사568277,,956850.0,1927750.0,4,77,31011610,연무동,23.707003542298942,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
32,다사569277,,956950.0,1927750.0,4,78,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
33,다사570277,,957050.0,1927750.0,4,79,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
34,다사571277,,957150.0,1927750.0,4,80,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
35,다사572277,,957250.0,1927750.0,4,81,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
36,다사573277,,957350.0,1927750.0,4,82,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
37,다사574277,,957450.0,1927750.0,4,83,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
38,다사575277,,957550.0,1927750.0,4,84,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
39,다사576277,,957650.0,1927750.0,4,85,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
40,다사577277,,957750.0,1927750.0,4,86,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
41,다사578277,,957850.0,1927750.0,4,87,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
42,다사579277,,957950.0,1927750.0,4,88,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
43,다사580277,,958050.0,1927750.0,4,89,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
44,다사581277,,958150.0,1927750.0,4,90,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
45,다사582277,,958250.0,1927750.0,4,91,31011610,연무동,30.516599172283765,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
46,다사568276,,956850.0,1927650.0,5,77,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
47,다사569276,,956950.0,1927650.0,5,78,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
48,다사570276,,957050.0,1927650.0,5,79,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
49,다사571276,,957150.0,1927650.0,5,80,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
50,다사572276,,957250.0,1927650.0,5,81,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
51,다사573276,,957350.0,1927650.0,5,82,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
52,다사574276,,957450.0,1927650.0,5,83,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
53,다사575276,,957550.0,1927650.0,5,84,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
54,다사576276,,957650.0,1927650.0,5,85,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
55,다사577276,,957750.0,1927650.0,5,86,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
56,다사578276,,957850.0,1927650.0,5,87,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
57,다사579276,,957950.0,1927650.0,5,88,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
58,다사580276,,958050.0,1927650.0,5,89,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
59,다사581276,,958150.0,1927650.0,5,90,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
60,다사582276,,958250.0,1927650.0,5,91,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
61,다사583276,,958350.0,1927650.0,5,92,31011610,연무동,12.07803174173473,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
62,다사568275,,956850.0,1927550.0,6,77,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
63,다사569275,,956950.0,1927550.0,6,78,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
64,다사570275,,957050.0,1927550.0,6,79,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
65,다사571275,,957150.0,1927550.0,6,80,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
66,다사572275,,957250.0,1927550.0,6,81,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
67,다사573275,,957350.0,1927550.0,6,82,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
68,다사574275,,957450.0,1927550.0,6,83,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
69,다사575275,,957550.0,1927550.0,6,84,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
70,다사576275,,957650.0,1927550.0,6,85,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
71,다사577275,,957750.0,1927550.0,6,86,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
72,다사578275,,957850.0,1927550.0,6,87,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
73,다사579275,,957950.0,1927550.0,6,88,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
74,다사580275,,958050.0,1927550.0,6,89,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
75,다사581275,,958150.0,1927550.0,6,90,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
