grid_id,gid,lbl,centroid_x,centroid_y,row,col
121,다사568272,,956850.0,1927250.0,9,77
122,다사569272,,956950.0,1927250.0,9,78
123,다사570272,,957050.0,1927250.0,9,79
124,다사571272,,957150.0,1927250.0,9,80
125,다사572272,,957250.0,1927250.0,9,81
126,다사573272,,957350.0,1927250.0,9,82
127,다사574272,,957450.0,1927250.0,9,83
128,다사575272,,957550.0,1927250.0,9,84
129,다사576272,,957650.0,1927250.0,9,85
130,다사577272,,957750.0,1927250.0,9,86
131,다사578272,,957850.0,1927250.0,9,87
132,다사579272,,957950.0,1927250.0,9,88
133,다사580272,,958050.0,1927250.0,9,89
134,다사581272,,958150.0,1927250.0,9,90
135,다사582272,,958250.0,1927250.0,9,91
136,다사583272,,958350.0,1927250.0,9,92
137,다사584272,,958450.0,1927250.0,9,93
138,다사585272,,958550.0,1927250.0,9,94
139,다사586272,,958650.0,1927250.0,9,95
140,다사566271,,956650.0,1927150.0,10,75
141,다사567271,,956750.0,1927150.0,10,76
142,다사568271,,956850.0,1927150.0,10,77
143,다사569271,,956950.0,1927150.0,10,78
144,다사570271,,957050.0,1927150.0,10,79
145,다사571271,,957150.0,1927150.0,10,80
146,다사572271,,957250.0,1927150.0,10,81
147,다사573271,,957350.0,1927150.0,10,82
148,다사574271,,957450.0,1927150.0,10,83
149,다사575271,,957550.0,1927150.0,10,84
150,다사576271,,957650.0,1927150.0,10,85
151,다사577271,,957750.0,1927150.0,10,86
152,다사578271,,957850.0,1927150.0,10,87
153,다사579271,,957950.0,1927150.0,10,88
154,다사580271,,958050.0,1927150.0,10,89
155,다사581271,,958150.0,1927150.0,10,90
156,다사582271,,958250.0,1927150.0,10,91
157,다사583271,,958350.0,1927150.0,10,92
158,다사584271,,958450.0,1927150.0,10,93
159,다사585271,,958550.0,1927150.0,10,94
160,다사586271,,958650.0,1927150.0,10,95
161,다사565270,,956550.0,1927050.0,11,74
162,다사566270,,956650.0,1927050.0,11,75
163,다사567270,,956750.0,1927050.0,11,76
164,다사568270,,956850.0,1927050.0,11,77
165,다사569270,,956950.0,1927050.0,11,78
166,다사570270,,957050.0,1927050.0,11,79
167,다사571270,,957150.0,1927050.0,11,80
168,다사572270,,957250.0,1927050.0,11,81
169,다사573270,,957350.0,1927050.0,11,82
170,다사574270,,957450.0,1927050.0,11,83
171,다사575270,,957550.0,1927050.0,11,84
172,다사576270,,957650.0,1927050.0,11,85
173,다사577270,,957750.0,1927050.0,11,86
174,다사578270,,957850.0,1927050.0,11,87
175,다사579270,,957950.0,1927050.0,11,88
176,다사580270,,958050.0,1927050.0,11,89
177,다사581270,,958150.0,1927050.0,11,90
178,다사582270,,958250.0,1927050.0,11,91
179,다사583270,,958350.0,1927050.0,11,92
180,다사584270,,958450.0,1927050.0,11,93
181,다사585270,,958550.0,1927050.0,11,94
182,다사565269,,956550.0,1926950.0,12,74
183,다사566269,,956650.0,1926950.0,12,75
184,다사567269,,956750.0,1926950.0,12,76
185,다사568269,,956850.0,1926950.0,12,77
186,다사569269,,956950.0,1926950.0,12,78
187,다사570269,,957050.0,1926950.0,12,79
188,다사571269,,957150.0,1926950.0,12,80
189,다사572269,,957250.0,1926950.0,12,81
190,다사573269,,957350.0,1926950.0,12,82
191,다사574269,,957450.0,1926950.0,12,83
192,다사575269,,957550.0,1926950.0,12,84
193,다사576269,,957650.0,1926950.0,12,85
194,다사577269,,957750.0,1926950.0,12,86
195,다사578269,,957850.0,1926950.0,12,87
196,다사579269,,957950.0,1926950.0,12,88
197,다사580269,,958050.0,1926950.0,12,89
198,다사581269,,958150.0,1926950.0,12,90
199,다사582269,,958250.0,1926950.0,12,91
200,다사583269,,958350.0,1926950.0,12,92
201,다사584269,,958450.0,1926950.0,12,93
202,다사585269,,958550.0,1926950.0,12,94
203,다사561268,,956150.0,1926850.0,13,70
204,다사562268,,956250.0,1926850.0,13,71
205,다사563268,,956350.0,1926850.0,13,72
206,다사564268,,956450.0,1926850.0,13,73
207,다사565268,,956550.0,1926850.0,13,74
208,다사566268,,956650.0,1926850.0,13,75
209,다사567268,,956750.0,1926850.0,13,76
210,다사568268,,956850.0,1926850.0,13,77
211,다사569268,,956950.0,1926850.0,13,78
212,다사570268,,957050.0,1926850.0,13,79
213,다사571268,,957150.0,1926850.0,13,80
214,다사572268,,957250.0,1926850.0,13,81
215,다사573268,,957350.0,1926850.0,13,82
216,다사574268,,957450.0,1926850.0,13,83
217,다사575268,,957550.0,1926850.0,13,84
218,다사576268,,957650.0,1926850.0,13,85
219,다사577268,,957750.0,1926850.0,13,86
220,다사578268,,957850.0,1926850.0,13,87
221,다사579268,,957950.0,1926850.0,13,88
222,다사580268,,958050.0,1926850.0,13,89
223,다사581268,,958150.0,1926850.0,13,90
224,다사582268,,958250.0,1926850.0,13,91
225,다사583268,,958350.0,1926850.0,13,92
226,다사584268,,958450.0,1926850.0,13,93
227,다사585268,,958550.0,1926850.0,13,94
228,다사557267,,955750.0,1926750.0,14,66
229,다사558267,,955850.0,1926750.0,14,67
230,다사559267,,955950.0,1926750.0,14,68
231,다사560267,,956050.0,1926750.0,14,69
232,다사561267,,956150.0,1926750.0,14,70
233,다사562267,,956250.0,1926750.0,14,71
234,다사563267,,956350.0,1926750.0,14,72
235,다사564267,,956450.0,1926750.0,14,73
236,다사565267,,956550.0,1926750.0,14,74
237,다사566267,,956650.0,1926750.0,14,75
238,다사567267,,956750.0,1926750.0,14,76
239,다사568267,,956850.0,1926750.0,14,77
240,다사569267,,956950.0,1926750.0,14,78
241,다사570267,,957050.0,1926750.0,14,79
242,다사571267,,957150.0,1926750.0,14,80
243,다사572267,,957250.0,1926750.0,14,81
244,다사573267,,957350.0,1926750.0,14,82
245,다사574267,,957450.0,1926750.0,14,83
