X,Y,id,left,top,right,bottom,row_index,col_index
127.02317676082,37.6076615069474,1,202046.469299999997020,556453.516900000046007,202846.469299999997020,556953.516900000046007,0,0
127.02317536314,37.6031565573162,2,202046.469299999997020,555953.516900000046007,202846.469299999997020,556453.516900000046007,1,0
127.023173965771,37.5986516042375,3,202046.469299999997020,555453.516900000046007,202846.469299999997020,555953.516900000046007,2,0
127.023172568713,37.5941466477113,4,202046.469299999997020,554953.516900000046007,202846.469299999997020,555453.516900000046007,3,0
127.023171171966,37.5896416877379,5,202046.469299999997020,554453.516900000046007,202846.469299999997020,554953.516900000046007,4,0
127.023169775531,37.5851367243174,6,202046.469299999997020,553953.516900000046007,202846.469299999997020,554453.516900000046007,5,0
127.023168379406,37.5806317574499,7,202046.469299999997020,553453.516900000046007,202846.469299999997020,553953.516900000046007,6,0
127.023166983592,37.5761267871356,8,202046.469299999997020,552953.516900000046007,202846.469299999997020,553453.516900000046007,7,0
127.023165588088,37.5716218133746,9,202046.469299999997020,552453.516900000046007,202846.469299999997020,552953.516900000046007,8,0
127.023164192896,37.567116836167,10,202046.469299999997020,551953.516900000046007,202846.469299999997020,552453.516900000046007,9,0
127.023162798014,37.562611855513,11,202046.469299999997020,551453.516900000046007,202846.469299999997020,551953.516900000046007,10,0
127.032236953585,37.6076593798716,12,202846.469299999997020,556453.516900000046007,203646.469299999997020,556953.516900000046007,0,1
127.032235009527,37.6031544305841,13,202846.469299999997020,555953.516900000046007,203646.469299999997020,556453.516900000046007,1,1
127.032233065903,37.5986494778491,14,202846.469299999997020,555453.516900000046007,203646.469299999997020,555953.516900000046007,2,1
127.032231122712,37.5941445216666,15,202846.469299999997020,554953.516900000046007,203646.469299999997020,555453.516900000046007,3,1
127.032229179953,37.5896395620368,16,202846.469299999997020,554453.516900000046007,203646.469299999997020,554953.516900000046007,4,1
127.032227237626,37.5851345989599,17,202846.469299999997020,553953.516900000046007,203646.469299999997020,554453.516900000046007,5,1
127.032225295733,37.580629632436,18,202846.469299999997020,553453.516900000046007,203646.469299999997020,553953.516900000046007,6,1
127.032223354271,37.5761246624651,19,202846.469299999997020,552953.516900000046007,203646.469299999997020,553453.516900000046007,7,1
127.032221413242,37.5716196890476,20,202846.469299999997020,552453.516900000046007,203646.469299999997020,552953.516900000046007,8,1
127.032219472645,37.5671147121835,21,202846.469299999997020,551953.516900000046007,203646.469299999997020,552453.516900000046007,9,1
127.03221753248,37.5626097318729,22,202846.469299999997020,551453.516900000046007,203646.469299999997020,551953.516900000046007,10,1
127.04129714524,37.6076565572384,23,203646.469299999997020,556453.516900000046007,204446.469299999997020,556953.516900000046007,0,2
127.041294654807,37.6031516084071,24,203646.469299999997020,555953.516900000046007,204446.469299999997020,556453.516900000046007,1,2
127.041292164927,37.5986466561281,25,203646.469299999997020,555453.516900000046007,204446.469299999997020,555953.516900000046007,2,2
127.041289675602,37.5941417004017,26,203646.469299999997020,554953.516900000046007,204446.469299999997020,555453.516900000046007,3,2
127.041287186832,37.5896367412279,27,203646.469299999997020,554453.516900000046007,204446.469299999997020,554953.516900000046007,4,2
127.041284698615,37.5851317786069,28,203646.469299999997020,553953.516900000046007,204446.469299999997020,554453.516900000046007,5,2
127.041282210953,37.5806268125389,29,203646.469299999997020,553453.516900000046007,204446.469299999997020,553953.516900000046007,6,2
127.041279723844,37.5761218430239,30,203646.469299999997020,552953.516900000046007,204446.469299999997020,553453.516900000046007,7,2
127.041277237289,37.5716168700621,31,203646.469299999997020,552453.516900000046007,204446.469299999997020,552953.516900000046007,8,2
127.041274751288,37.5671118936537,32,203646.469299999997020,551953.516900000046007,204446.469299999997020,552453.516900000046007,9,2
127.04127226584,37.5626069137988,33,203646.469299999997020,551453.516900000046007,204446.469299999997020,551953.516900000046007,10,2
127.050357335476,37.6076530390481,34,204446.469299999997020,556453.516900000046007,205246.469299999997020,556953.516900000046007,0,3
127.050354298666,37.6031480907853,35,204446.469299999997020,555953.516900000046007,205246.469299999997020,556453.516900000046007,1,3
127.050351262532,37.5986431390749,36,204446.469299999997020,555453.516900000046007,205246.469299999997020,555953.516900000046007,2,3
127.050348227074,37.5941381839169,37,204446.469299999997020,554953.516900000046007,205246.469299999997020,555453.516900000046007,3,3
127.050345192292,37.5896332253115,38,204446.469299999997020,554453.516900000046007,205246.469299999997020,554953.516900000046007,4,3
127.050342158186,37.5851282632588,39,204446.469299999997020,553953.516900000046007,205246.469299999997020,554453.516900000046007,5,3
127.050339124755,37.580623297759,40,204446.469299999997020,553453.516900000046007,205246.469299999997020,553953.516900000046007,6,3
127.050336091999,37.5761183288121,41,204446.469299999997020,552953.516900000046007,205246.469299999997020,553453.516900000046007,7,3
127.050333059919,37.5716133564184,42,204446.469299999997020,552453.516900000046007,205246.469299999997020,552953.516900000046007,8,3
127.050330028514,37.5671083805781,43,204446.469299999997020,551953.516900000046007,205246.469299999997020,552453.516900000046007,9,3
127.050326997784,37.5626034012911,44,204446.469299999997020,551453.516900000046007,205246.469299999997020,551953.516900000046007,10,3
127.059417523981,37.6076488253011,45,205246.469299999997020,556453.516900000046007,206046.469299999997020,556953.516900000046007,0,4
127.059413940794,37.6031438777193,46,205246.469299999997020,555953.516900000046007,206046.469299999997020,556453.516900000046007,1,4
127.059410358406,37.5986389266898,47,205246.469299999997020,555453.516900000046007,206046.469299999997020,555953.516900000046007,2,4
127.059406776816,37.5941339722126,48,205246.469299999997020,554953.516900000046007,206046.469299999997020,555453.516900000046007,3,4
127.059403196022,37.5896290142879,49,205246.469299999997020,554453.516900000046007,206046.469299999997020,554953.516900000046007,4,4
127.059399616026,37.5851240529158,50,205246.469299999997020,553953.516900000046007,206046.469299999997020,554453.516900000046007,5,4
127.059396036828,37.5806190880966,51,205246.469299999997020,553453.516900000046007,206046.469299999997020,553953.516900000046007,6,4
127.059392458426,37.5761141198302,52,205246.469299999997020,552953.516900000046007,206046.469299999997020,553453.516900000046007,7,4
127.059388880821,37.5716091481169,53,205246.469299999997020,552453.516900000046007,206046.469299999997020,552953.516900000046007,8,4
127.059385304012,37.5671041729569,54,205246.469299999997020,551953.516900000046007,206046.469299999997020,552453.516900000046007,9,4
127.059381728,37.5625991943501,55,205246.469299999997020,551453.516900000046007,206046.469299999997020,551953.516900000046007,10,4
127.068477710442,37.6076439159978,56,206046.469299999997020,556453.516900000046007,206846.469299999997020,556953.516900000046007,0,5
127.06847358088,37.6031389692094,57,206046.469299999997020,555953.516900000046007,206846.469299999997020,556453.516900000046007,1,5
127.068469452238,37.5986340189731,58,206046.469299999997020,555453.516900000046007,206846.469299999997020,555953.516900000046007,2,5
127.068465324515,37.5941290652891,59,206046.469299999997020,554953.516900000046007,206846.469299999997020,555453.516900000046007,3,5
127.068461197712,37.5896241081575,60,206046.469299999997020,554453.516900000046007,206846.469299999997020,554953.516900000046007,4,5
127.068457071827,37.5851191475785,61,206046.469299999997020,553953.516900000046007,206846.469299999997020,554453.516900000046007,5,5
127.068452946861,37.5806141835521,62,206046.469299999997020,553453.516900000046007,206846.469299999997020,553953.516900000046007,6,5
127.068448822813,37.5761092160786,63,206046.469299999997020,552953.516900000046007,206846.469299999997020,553453.516900000046007,7,5
127.068444699683,37.571604245158,64,206046.469299999997020,552453.516900000046007,206846.469299999997020,552953.516900000046007,8,5
127.068440577472,37.5670992707906,65,206046.469299999997020,551953.516900000046007,206846.469299999997020,552453.516900000046007,9,5
127.068436456178,37.5625942929764,66,206046.469299999997020,551453.516900000046007,206846.469299999997020,551953.516900000046007,10,5
127.077537894549,37.6076383111388,67,206846.469299999997020,556453.516900000046007,207646.469299999997020,556953.516900000046007,0,6
127.077533218612,37.6031333652562,68,206846.469299999997020,555953.516900000046007,207646.469299999997020,556453.516900000046007,1,6
127.077528543717,37.5986284159256,69,206846.469299999997020,555453.516900000046007,207646.469299999997020,555953.516900000046007,2,6
127.077523869863,37.5941234631471,70,206846.469299999997020,554953.516900000046007,207646.469299999997020,555453.516900000046007,3,6
127.077519197049,37.589618506921,71,206846.469299999997020,554453.516900000046007,207646.469299999997020,554953.516900000046007,4,6
127.077514525276,37.5851135472473,72,206846.469299999997020,553953.516900000046007,207646.469299999997020,554453.516900000046007,5,6
127.077509854542,37.5806085841262,73,206846.469299999997020,553453.516900000046007,207646.469299999997020,553953.516900000046007,6,6
127.077505184849,37.5761036175578,74,206846.469299999997020,552953.516900000046007,207646.469299999997020,553453.516900000046007,7,6
127.077500516196,37.5715986475423,75,206846.469299999997020,552453.516900000046007,207646.469299999997020,552953.516900000046007,8,6
127.077495848582,37.5670936740798,76,206846.469299999997020,551953.516900000046007,207646.469299999997020,552453.516900000046007,9,6
127.077491182007,37.5625886971704,77,206846.469299999997020,551453.516900000046007,207646.469299999997020,551953.516900000046007,10,6
