SIG_CD,한국이름,X,Y
11000,서울특별시,126.991791513000,37.551899662000
26000,부산광역시,129.068883114000,35.209972236000
27000,대구광역시,128.623960570000,35.855224124000
28000,인천광역시,126.680436759000,37.492451870000
29000,광주광역시,126.835434830000,35.155737232000
30000,대전광역시,127.394019938000,36.339722428000
31000,울산광역시,129.238209787000,35.553652004000
36000,세종특별자치시,127.258780115000,36.560657677000
41000,경기도,127.516036591000,37.388977854000
43000,충청북도,128.306838366000,36.985728919000
44000,충청남도,126.859128245000,36.529465729000
46000,전라남도,126.956459959000,34.940311149000
47000,경상북도,129.143241742000,36.392264579000
48000,경상남도,128.256941971000,35.369698002000
50000,제주특별자치도,126.553493962000,33.384591428000
51000,강원특별자치도,128.303838108000,37.717692242000
52000,전북특별자치도,127.124392884000,35.719752544000
11110,종로구,126.986259248000,37.580893631000
11140,중구,126.995967862000,37.560143564000
11170,용산구,126.979906988000,37.531384965000
11200,성동구,127.041058256000,37.551029688000
11215,광진구,127.085744098000,37.546720237000
11230,동대문구,127.054847850000,37.581956547000
11260,중랑구,127.092883177000,37.597817379000
11290,성북구,127.023375735000,37.595113441000
11305,강북구,127.014756733000,37.632173233000
11320,도봉구,127.032368819000,37.669102085000
11350,노원구,127.075036866000,37.652510323000
11380,은평구,126.927022599000,37.619211281000
11410,서대문구,126.939062887000,37.577785697000
11440,마포구,126.908269821000,37.559313882000
11470,양천구,126.856281538000,37.519096479000
11500,강서구,126.822511815000,37.565932423000
11530,구로구,126.858045733000,37.498047643000
11545,금천구,126.900819966000,37.460567564000
11560,영등포구,126.910169260000,37.522308681000
11590,동작구,126.944196974000,37.504643286000
11620,관악구,126.945336876000,37.467375690000
11650,서초구,127.008838602000,37.491482128000
11680,강남구,127.062984927000,37.496643893000
11710,송파구,127.115294815000,37.505619635000
11740,강동구,127.147011564000,37.550450243000
26110,중구,129.032311450000,35.105636352000
26140,서구,129.014910076000,35.103046017000
26170,동구,129.044721113000,35.128483537000
26200,영도구,129.064773858000,35.078667322000
26230,부산진구,129.043060341000,35.165244113000
26260,동래구,129.079219809000,35.206212441000
26290,남구,129.094297607000,35.125424980000
26320,북구,129.023463256000,35.229247892000
26350,해운대구,129.153590420000,35.193856162000
26380,사하구,128.974492377000,35.089929888000
26410,금정구,129.091528744000,35.258893745000
26440,강서구,128.902772862000,35.154759618000
26470,연제구,129.082935268000,35.182417984000
26500,수영구,129.111201718000,35.161307534000
26530,사상구,128.986592374000,35.158030968000
26710,기장군,129.200955357000,35.298013443000
27110,중구,128.593605552000,35.866535286000
27140,동구,128.685659642000,35.934426326000
27170,서구,128.549697323000,35.875001670000
27200,남구,128.585329350000,35.835177156000
27230,북구,128.577399401000,35.928796627000
27260,수성구,128.661274135000,35.833848859000
27290,달서구,128.529211863000,35.827483096000
27710,달성군,128.509346765000,35.732338249000
27720,군위군,128.648224324000,36.170112083000
28110,중구,126.468545105000,37.476064332000
28140,동구,126.626017101000,37.486507519000
28177,미추홀구,126.664639877000,37.452582226000
28185,연수구,126.649433960000,37.394614645000
28200,남동구,126.726570221000,37.431133003000
28237,부평구,126.721209170000,37.496658742000
28245,계양구,126.734699653000,37.557296958000
28260,서구,126.656737090000,37.527935070000
28710,강화군,126.443775629000,37.705875826000
28720,옹진군,124.674872790000,37.953668588000
29110,동구,126.949464279000,35.117380230000
29140,서구,126.850719140000,35.135693108000
29155,남구,126.856718099000,35.094058245000
29170,북구,126.925486478000,35.193246107000
29200,광산구,126.752894938000,35.165035014000
30110,동구,127.475037427000,36.323920235000
30140,중구,127.411057309000,36.280860154000
30170,서구,127.345104125000,36.280239624000
30200,유성구,127.333128684000,36.376611787000
30230,대덕구,127.440151809000,36.412178685000
31110,중구,129.308242576000,35.571049338000
31140,남구,129.329264304000,35.514681561000
31170,동구,129.426062693000,35.525578026000
31200,북구,129.379810113000,35.610053912000
31710,울주군,129.174482935000,35.575002127000
36110,세종특별자치시,127.258780052000,36.560657707000
41111,수원시 장안구,127.003451706000,37.313965699000
41113,수원시 권선구,126.979758331000,37.260524759000
41115,수원시 팔달구,127.016237067000,37.277464461000
41117,수원시 영통구,127.056727846000,37.275018702000
41131,성남시 수정구,127.104144983000,37.435166644000
41133,성남시 중원구,127.163909636000,37.433433231000
41135,성남시 분당구,127.106063734000,37.379301564000
41150,의정부시,127.068422804000,37.736192108000
41171,안양시 만안구,126.911382955000,37.404116263000
41173,안양시 동안구,126.955502633000,37.400390060000
41192,부천시 원미구,126.778950218000,37.499799092000
41194,부천시 소사구,126.796803896000,37.474937497000
41196,부천시 오정구,126.777096562000,37.531782130000
41210,광명시,126.864694047000,37.445169120000
41220,평택시,126.987663606000,37.011824784000
41250,동두천시,127.077912454000,37.916537607000
41271,안산시 상록구,126.870815035000,37.316003829000
41273,안산시 단원구,126.783514814000,37.317738221000
41281,고양시 덕양구,126.878631823000,37.655809868000
41285,고양시 일산동구,126.824979113000,37.699974485000
41287,고양시 일산서구,126.727857827000,37.680326608000
41290,과천시,127.002679189000,37.433845284000
41310,구리시,127.131231176000,37.599218863000
41360,남양주시,127.243660645000,37.662529813000
41370,오산시,127.051329389000,37.163290679000
41390,시흥시,126.754925648000,37.366916473000
41410,군포시,126.921112298000,37.343472325000
41430,의왕시,126.989625456000,37.362387749000
41450,하남시,127.205943566000,37.522814569000
41461,용인시 처인구,127.252933150000,37.203331894000
41463,용인시 기흥구,127.121340846000,37.267431583000
