X,Y,id,left,top,right,bottom,row_index,col_index
126.926935991711,37.3510337772138,1,193526.4693,527973.5169,194326.4693,528473.5169,0,0
126.926940357235,37.3465286347264,2,193526.4693,527473.5169,194326.4693,527973.5169,1,0
126.926944721787,37.3420234887992,3,193526.4693,526973.5169,194326.4693,527473.5169,2,0
126.926949085369,37.3375183394323,4,193526.4693,526473.5169,194326.4693,526973.5169,3,0
126.926953447979,37.3330131866259,5,193526.4693,525973.5169,194326.4693,526473.5169,4,0
126.926957809619,37.3285080303801,6,193526.4693,525473.5169,194326.4693,525973.5169,5,0
126.926962170288,37.324002870695,7,193526.4693,524973.5169,194326.4693,525473.5169,6,0
126.926966529987,37.3194977075708,8,193526.4693,524473.5169,194326.4693,524973.5169,7,0
126.926970888716,37.3149925410077,9,193526.4693,523973.5169,194326.4693,524473.5169,8,0
126.926975246475,37.3104873710057,10,193526.4693,523473.5169,194326.4693,523973.5169,9,0
126.926979603265,37.3059821975651,11,193526.4693,522973.5169,194326.4693,523473.5169,10,0
126.926983959086,37.301477020686,12,193526.4693,522473.5169,194326.4693,522973.5169,11,0
126.926988313937,37.2969718403685,13,193526.4693,521973.5169,194326.4693,522473.5169,12,0
126.926992667819,37.2924666566127,14,193526.4693,521473.5169,194326.4693,521973.5169,13,0
126.926997020733,37.2879614694189,15,193526.4693,520973.5169,194326.4693,521473.5169,14,0
126.927001372678,37.2834562787872,16,193526.4693,520473.5169,194326.4693,520973.5169,15,0
126.927005723655,37.2789510847176,17,193526.4693,519973.5169,194326.4693,520473.5169,16,0
126.927010073665,37.2744458872104,18,193526.4693,519473.5169,194326.4693,519973.5169,17,0
126.927014422706,37.2699406862657,19,193526.4693,518973.5169,194326.4693,519473.5169,18,0
126.92701877078,37.2654354818837,20,193526.4693,518473.5169,194326.4693,518973.5169,19,0
126.927023117886,37.2609302740644,21,193526.4693,517973.5169,194326.4693,518473.5169,20,0
126.927027464026,37.2564250628081,22,193526.4693,517473.5169,194326.4693,517973.5169,21,0
126.927031809199,37.2519198481149,23,193526.4693,516973.5169,194326.4693,517473.5169,22,0
126.927036153405,37.2474146299849,24,193526.4693,516473.5169,194326.4693,516973.5169,23,0
126.927040496644,37.2429094084182,25,193526.4693,515973.5169,194326.4693,516473.5169,24,0
126.927044838918,37.2384041834151,26,193526.4693,515473.5169,194326.4693,515973.5169,25,0
126.927049180226,37.2338989549757,27,193526.4693,514973.5169,194326.4693,515473.5169,26,0
126.927053520567,37.2293937231001,28,193526.4693,514473.5169,194326.4693,514973.5169,27,0
126.927057859944,37.2248884877885,29,193526.4693,513973.5169,194326.4693,514473.5169,28,0
126.935965248484,37.3510390093755,30,194326.4693,527973.5169,195126.4693,528473.5169,0,1
126.935969074517,37.3465338660404,31,194326.4693,527473.5169,195126.4693,527973.5169,1,1
126.935972899699,37.3420287192657,32,194326.4693,526973.5169,195126.4693,527473.5169,2,1
126.935976724029,37.3375235690513,33,194326.4693,526473.5169,195126.4693,526973.5169,3,1
126.935980547509,37.3330184153975,34,194326.4693,525973.5169,195126.4693,526473.5169,4,1
126.935984370138,37.3285132583044,35,194326.4693,525473.5169,195126.4693,525973.5169,5,1
126.935988191916,37.3240080977722,36,194326.4693,524973.5169,195126.4693,525473.5169,6,1
126.935992012844,37.3195029338009,37,194326.4693,524473.5169,195126.4693,524973.5169,7,1
126.935995832922,37.3149977663909,38,194326.4693,523973.5169,195126.4693,524473.5169,8,1
126.93599965215,37.3104925955421,39,194326.4693,523473.5169,195126.4693,523973.5169,9,1
126.936003470528,37.3059874212547,40,194326.4693,522973.5169,195126.4693,523473.5169,10,1
126.936007288057,37.3014822435289,41,194326.4693,522473.5169,195126.4693,522973.5169,11,1
126.936011104736,37.2969770623648,42,194326.4693,521973.5169,195126.4693,522473.5169,12,1
126.936014920566,37.2924718777626,43,194326.4693,521473.5169,195126.4693,521973.5169,13,1
126.936018735547,37.2879666897225,44,194326.4693,520973.5169,195126.4693,521473.5169,14,1
126.93602254968,37.2834614982444,45,194326.4693,520473.5169,195126.4693,520973.5169,15,1
126.936026362964,37.2789563033287,46,194326.4693,519973.5169,195126.4693,520473.5169,16,1
126.936030175399,37.2744511049755,47,194326.4693,519473.5169,195126.4693,519973.5169,17,1
